SampleId;species;individualsPerMl
Vinne_22sep08;coccaal_sp_groot;261,6719972
Vinne_27aug08;Katablepharis_ovalis;261,6719972
Schulensmeer_19jun08;Aphanocapsa;261,6719972
KanaalplasDeMaat_17jul13;Uroglena_sp;257,2133222
Hazewinkel_26aug14;flagellaat_3to5_µm_1;255,8652443
Vinne_19jun08;Cryptomonas_erosa;251,9804417
GroteVijverMechelen_25aug08;flagellaat_3to5_µm_1;251,2051173
KanaalplasDeMaat_16apr13;Aulacoseira_cf_italica_tenuissima_colonies;249,721672
KanaalplasDeMaat_16apr13;Cyclotella_sp_klein;249,721672
KanaalplasDeMaat_16apr13;Chlorella_saccharophila;249,721672
Schulensmeer_14jul08;Aulacoseira_granulata_cells;248,1038195
Schulensmeer_14jul08;Dictyosphaerium_pulchellum;248,1038195
Schulensmeer_14jul08;coccaal_sp;248,1038195
Schulensmeer_14jul08;Lemmermaniella_flexa;248,1038195
KanaalplasDeMaat_24oct13;Aulacoseira_subborealis;244,2418861
GroteVijverMechelen_19sep08;Chroomonas_acuta;244,2271973
Hazewinkel_26aug14;Oocystis_solitaria;237,5891554
Hazewinkel_20may14;Chrysochromulina_cf_minor;237,5891554
Hazewinkel_17jun14;Chroococcus_limneticus;237,3624686
Hazewinkel_23apr14;Dinobryon_divergens;235,2724846
KanaalplasDeMaat_21aug13;Cryptomonas_erosa;234,8479674
Schulensmeer_19jun08;Aulacoseira_granulata_angustissima_cel;232,5973308
Schulensmeer_24oct08;Koliella_spiculiformis;232,5973308
Schulensmeer_19jun08;Pandorina_morum;232,5973308
Vinne_14jul08;Euglena_sp;232,5973308
Vinne_27aug08;Trachelomonas_volvocina;232,5973308
RauwseMeer_21may13;cf_Dictyosphaerium_tetrachotomum_fallax_cells;232,4994877
RauwseMeer_17jul13;Dinobryon_divergens;230,4054587
RauwseMeer_19jun13;Dinobryon_acuminatum;230,1510081
Hazewinkel_23apr14;Fragillaria_crotonensis_cells;228,1068251
Schulensmeer_24oct08;Cryptomonas_erosa;225,9516928
Hazewinkel_26aug14;Aphanothece_minutissima;219,3130665
RauwseMeer_24oct13;Rhodomonas_lacustris;219,1914363
GroteVijverMechelen_19sep08;Cryptomonas_erosa;218,641491
Vinne_25apr08;Cryptomonas__rostrata;218,3566779
KanaalplasDeMaat_17jul13;Chrysochromulina_parva;217,3009101
Schulensmeer_14jul08;Desmodesmus_communis;217,0908421
Schulensmeer_14jul08;Lagerheimia_geneviensis;217,0908421
Schulensmeer_14jul08;Lagerheimia_quadriseta;217,0908421
RauwseMeer_21may13;Fragillaria_crotonensis_cells;215,4533058
GroteVijverMechelen_9apr08;Cyclotella_sp_klein;213,6097936
RauwseMeer_21may13;Pseudokephyrion_conicum;211,8328666
Vinne_14jul08;Chlorella_sp;209,3375977
KanaalplasDeMaat_16apr13;Aulacoseira_cf_italica_broad_colonies;206,6662113
KanaalplasDeMaat_19jun13;centricaat_sp1;206,6662113
KanaalplasDeMaat_21aug13;Monoraphidium_minutum;206,6662113
Schulensmeer_19jun08;Micractinium_pusillum;203,5226645
Schulensmeer_19jun08;Monoraphidium_minutum;203,5226645
Vinne_22sep08;Scenedesmus_ecornis;203,5226645
Schulensmeer_19jun08;Chroomonas_nordstedtii;203,5226645
Vinne_22sep08;Chroomonas_nordstedtii;203,5226645
Schulensmeer_22sep08;Anabaena_sp;198
Vinne_14jul08;Cryptomonas_reflexa;197,7077312
KanaalplasDeMaat_21aug13;Katablepharis_ovalis;197,2722926
KanaalplasDeMaat_17sep13;Monosiga_ovata;197,2722926
Vinne_19jun08;Cryptomonas__rostratiformis;193,831109
RauwseMeer_17apr13;flagellaat_3to5_µm_1;191,1662455
KanaalplasDeMaat_16apr13;Asterionella_formosa_cells;188,6059767
RauwseMeer_24oct13;Aphanothece_sp;187,8783739
Schulensmeer_14jul08;Cyclotella_meneghiniana;186,0778646
