occurrenceID,type,eventID,scientificName,basisOfRecord,samplingProtocol,identifiedBy,species,oranismQuantityType,organismQuantity
Ugent:Ecopot1:0073,event,Heerenlaak_12jul07,Aulacoseira,HumanObservation,watersample,J. Van Wichelen,Aulacoseira,Calculated Individuals per liter,54.09
Ugent:Ecopot1:0074,event,Heerenlaak_22jun07,Chlamydomonas,HumanObservation,watersample,J. Van Wichelen,Chlamydomonas,Calculated Individuals per liter,45.08
Ugent:Ecopot1:0075,event,Heerenlaak_17apr07,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,45.08
Ugent:Ecopot1:0076,event,Heerenlaak_22jun07,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,45.08
Ugent:Ecopot1:0077,event,Kessenich_18apr07,Lagerheimia ciliata,HumanObservation,watersample,J. Van Wichelen,Lagerheimia ciliata,Calculated Individuals per liter,45.08
Ugent:Ecopot1:0078,event,Kessenich_18apr07,Monoraphidium  ,HumanObservation,watersample,J. Van Wichelen,Monoraphidium  ,Calculated Individuals per liter,45.08
Ugent:Ecopot1:0079,event,Kessenich_20oct06,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,44.73
Ugent:Ecopot1:0080,event,Heerenlaak_6sep06,Merismopedia,HumanObservation,watersample,J. Van Wichelen,Merismopedia,Calculated Individuals per liter,43.27
Ugent:Ecopot1:0081,event,Kessenich_31may07,Scenedesmus,HumanObservation,watersample,J. Van Wichelen,Scenedesmus,Calculated Individuals per liter,38.64
Ugent:Ecopot1:0082,event,Kessenich_31may07,Glenodinium,HumanObservation,watersample,J. Van Wichelen,Glenodinium,Calculated Individuals per liter,38.64
Ugent:Ecopot1:0083,event,Kessenich_31may07,Actinastrum,HumanObservation,watersample,J. Van Wichelen,Actinastrum,Calculated Individuals per liter,35.00
Ugent:Ecopot1:0085,event,Heerenlaak_6sep06,Scenedesmus,HumanObservation,watersample,J. Van Wichelen,Scenedesmus,Calculated Individuals per liter,32.46
Ugent:Ecopot1:0086,event,Heerenlaak_6sep06,Nitzschia,HumanObservation,watersample,J. Van Wichelen,Nitzschia,Calculated Individuals per liter,32.46
Ugent:Ecopot1:0088,event,Heerenlaak_20oct06,Chlamydomonas,HumanObservation,watersample,J. Van Wichelen,Chlamydomonas,Calculated Individuals per liter,27.05
Ugent:Ecopot1:0089,event,Kessenich_12jul07,Chlamydomonas,HumanObservation,watersample,J. Van Wichelen,Chlamydomonas,Calculated Individuals per liter,27.05
Ugent:Ecopot1:0090,event,Heerenlaak_12jul07,Staurastrum,HumanObservation,watersample,J. Van Wichelen,Staurastrum,Calculated Individuals per liter,27.05
Ugent:Ecopot1:0092,event,Kessenich_12jul07,Trachelomonas,HumanObservation,watersample,J. Van Wichelen,Trachelomonas,Calculated Individuals per liter,27.05
Ugent:Ecopot1:0093,event,Heerenlaak_20oct06,Actinocyclus,HumanObservation,watersample,J. Van Wichelen,Actinocyclus,Calculated Individuals per liter,27.05
Ugent:Ecopot1:0094,event,Kessenich_12jul07,Actinocyclus,HumanObservation,watersample,J. Van Wichelen,Actinocyclus,Calculated Individuals per liter,27.05
Ugent:Ecopot1:0095,event,Heerenlaak_12jul07,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,27.05
Ugent:Ecopot1:0096,event,Heerenlaak_12jul07,Aulacoseira subborealis,HumanObservation,watersample,J. Van Wichelen,Aulacoseira_subborealis,Calculated Individuals per liter,27.05
Ugent:Ecopot1:0097,event,Kessenich_20oct06,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella_10Âµm,Calculated Individuals per liter,25.28
Ugent:Ecopot1:0098,event,Kessenich_7sep06,Aulacoseira subborealis,HumanObservation,watersample,J. Van Wichelen,Aulacoseira_subborealis,Calculated Individuals per liter,23.86
Ugent:Ecopot1:0099,event,Kessenich_7sep06,Mallomonas,HumanObservation,watersample,J. Van Wichelen,Mallomonas,Calculated Individuals per liter,23.86
Ugent:Ecopot1:0100,event,Heerenlaak_24aug07,Aulacoseira,HumanObservation,watersample,J. Van Wichelen,Aulacoseira,Calculated Individuals per liter,23.20
Ugent:Ecopot1:0101,event,Heerenlaak_31may07,Aulacoseira,HumanObservation,watersample,J. Van Wichelen,Aulacoseira,Calculated Individuals per liter,23.00
Ugent:Ecopot1:0102,event,Heerenlaak_6sep06,Coelastrum,HumanObservation,watersample,J. Van Wichelen,Coelastrum,Calculated Individuals per liter,21.64
Ugent:Ecopot1:0103,event,Heerenlaak_6sep06,Pediastrum,HumanObservation,watersample,J. Van Wichelen,Pediastrum,Calculated Individuals per liter,21.64
Ugent:Ecopot1:0104,event,Heerenlaak_20oct06,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,20.29
Ugent:Ecopot1:0105,event,Heerenlaak_20oct06,Mallomonas,HumanObservation,watersample,J. Van Wichelen,Mallomonas,Calculated Individuals per liter,20.29
Ugent:Ecopot1:0106,event,Kessenich_20oct06,Schroederia,HumanObservation,watersample,J. Van Wichelen,Schroederia,Calculated Individuals per liter,19.45
Ugent:Ecopot1:0107,event,Kessenich_24aug07,Cyclotella,HumanObservation,watersample,J. Van Wichelen,Cyclotella,Calculated Individuals per liter,18.80
Ugent:Ecopot1:0108,event,Kessenich_12jul07,Pandorina,HumanObservation,watersample,J. Van Wichelen,Pandorina,Calculated Individuals per liter,16.67
Ugent:Ecopot1:0109,event,Heerenlaak_17apr07,Tetrastrum,HumanObservation,watersample,J. Van Wichelen,Tetrastrum,Calculated Individuals per liter,15.03
Ugent:Ecopot1:0110,event,Heerenlaak_24aug07,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,13.52
Ugent:Ecopot1:0111,event,Heerenlaak_12jul07,Schroederia,HumanObservation,watersample,J. Van Wichelen,Schroederia,Calculated Individuals per liter,13.52
Ugent:Ecopot1:0112,event,Heerenlaak_12jul07,Tetrastrum,HumanObservation,watersample,J. Van Wichelen,Tetrastrum,Calculated Individuals per liter,13.52
Ugent:Ecopot1:0113,event,Heerenlaak_20oct06,Aulacoseira subborealis,HumanObservation,watersample,J. Van Wichelen,Aulacoseira_subborealis,Calculated Individuals per liter,13.52
Ugent:Ecopot1:0114,event,Heerenlaak_24aug07,Asterionella formosa,HumanObservation,watersample,J. Van Wichelen,Asterionella formosa,Calculated Individuals per liter,12.60
Ugent:Ecopot1:0115,event,Kessenich_31may07,Aulacoseira,HumanObservation,watersample,J. Van Wichelen,Aulacoseira,Calculated Individuals per liter,11.40
Ugent:Ecopot1:0116,event,Heerenlaak_6sep06,Lagerheimia ciliata,HumanObservation,watersample,J. Van Wichelen,Lagerheimia ciliata,Calculated Individuals per liter,10.82
Ugent:Ecopot1:0117,event,Heerenlaak_6sep06,Schroederia,HumanObservation,watersample,J. Van Wichelen,Schroederia,Calculated Individuals per liter,10.82
Ugent:Ecopot1:0118,event,Heerenlaak_6sep06,Pseudoanabaena,HumanObservation,watersample,J. Van Wichelen,Pseudoanabaena,Calculated Individuals per liter,10.82
Ugent:Ecopot1:0119,event,Kessenich_22jun07,Nitzschia,HumanObservation,watersample,J. Van Wichelen,Nitzschia,Calculated Individuals per liter,10.80
Ugent:Ecopot1:0120,event,Heerenlaak_24aug07,Dictyosphaerium,HumanObservation,watersample,J. Van Wichelen,Dictyosphaerium,Calculated Individuals per liter,10.40
Ugent:Ecopot1:0123,event,Kessenich_22jun07,Chlamydomonas,HumanObservation,watersample,J. Van Wichelen,Chlamydomonas,Calculated Individuals per liter,9.80
Ugent:Ecopot1:0124,event,Kessenich_22jun07,Trachelomonas,HumanObservation,watersample,J. Van Wichelen,Trachelomonas,Calculated Individuals per liter,9.40
Ugent:Ecopot1:0126,event,Kessenich_22jun07,Aulacoseira,HumanObservation,watersample,J. Van Wichelen,Aulacoseira,Calculated Individuals per liter,8.60
Ugent:Ecopot1:0127,event,Kessenich_22jun07,Gonium,HumanObservation,watersample,J. Van Wichelen,Gonium,Calculated Individuals per liter,8.00
Ugent:Ecopot1:0128,event,Kessenich_7sep06,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,7.95
Ugent:Ecopot1:0129,event,Kessenich_7sep06,Scenedesmus,HumanObservation,watersample,J. Van Wichelen,Scenedesmus,Calculated Individuals per liter,7.95
Ugent:Ecopot1:0130,event,Kessenich_7sep06,Schroederia,HumanObservation,watersample,J. Van Wichelen,Schroederia,Calculated Individuals per liter,7.95
Ugent:Ecopot1:0132,event,Kessenich_31may07,Nitzschia,HumanObservation,watersample,J. Van Wichelen,Nitzschia,Calculated Individuals per liter,7.80
Ugent:Ecopot1:0133,event,Heerenlaak_22jun07,Aphanizomenon,HumanObservation,watersample,J. Van Wichelen,Aphanizomenon,Calculated Individuals per liter,7.80
Ugent:Ecopot1:0134,event,Kessenich_31may07,Gonium,HumanObservation,watersample,J. Van Wichelen,Gonium,Calculated Individuals per liter,7.00
Ugent:Ecopot1:0135,event,Heerenlaak_20oct06,Botryococcus,HumanObservation,watersample,J. Van Wichelen,Botryococcus,Calculated Individuals per liter,6.76
Ugent:Ecopot1:0136,event,Heerenlaak_20oct06,Scenedesmus,HumanObservation,watersample,J. Van Wichelen,Scenedesmus,Calculated Individuals per liter,6.76
Ugent:Ecopot1:0137,event,Heerenlaak_20oct06,Trachelomonas,HumanObservation,watersample,J. Van Wichelen,Trachelomonas,Calculated Individuals per liter,6.76
Ugent:Ecopot1:0138,event,Heerenlaak_20oct06,Nitzschia,HumanObservation,watersample,J. Van Wichelen,Nitzschia,Calculated Individuals per liter,6.76
Ugent:Ecopot1:0139,event,Heerenlaak_31may07,Navicula,HumanObservation,watersample,J. Van Wichelen,Navicula,Calculated Individuals per liter,5.83
Ugent:Ecopot1:0140,event,Kessenich_31may07,Synedra,HumanObservation,watersample,J. Van Wichelen,Synedra,Calculated Individuals per liter,5.80
Ugent:Ecopot1:0141,event,Kessenich_24aug07,Cryptomonas,HumanObservation,watersample,J. Van Wichelen,Cryptomonas_larger25,Calculated Individuals per liter,5.60
Ugent:Ecopot1:0142,event,Heerenlaak_17apr07,Asterionella formosa,HumanObservation,watersample,J. Van Wichelen,Asterionella formosa,Calculated Individuals per liter,5.60
Ugent:Ecopot1:0143,event,Heerenlaak_22jun07,Aulacoseira,HumanObservation,watersample,J. Van Wichelen,Aulacoseira,Calculated Individuals per liter,5.20
Ugent:Ecopot1:0145,event,Kessenich_12jul07,Fragilaria,HumanObservation,watersample,J. Van Wichelen,Fragilaria,Calculated Individuals per liter,4.60
Ugent:Ecopot1:0146,event,Kessenich_31may07,Asterionella formosa,HumanObservation,watersample,J. Van Wichelen,Asterionella formosa,Calculated Individuals per liter,4.40
Ugent:Ecopot1:0147,event,Heerenlaak_24aug07,Mallomonas,HumanObservation,watersample,J. Van Wichelen,Mallomonas,Calculated Individuals per liter,4.40
Ugent:Ecopot1:0148,event,Heerenlaak_20oct06,Aulacoseira,HumanObservation,watersample,J. Van Wichelen,Aulacoseira,Calculated Individuals per liter,3.90
Ugent:Ecopot1:0149,event,Kessenich_24aug07,Chlamydomonas,HumanObservation,watersample,J. Van Wichelen,Chlamydomonas,Calculated Individuals per liter,3.60
Ugent:Ecopot1:0150,event,Kessenich_22jun07,Oocystis,HumanObservation,watersample,J. Van Wichelen,Oocystis,Calculated Individuals per liter,3.60
Ugent:Ecopot1:0151,event,Kessenich_18apr07,Diatoma vulgaris,HumanObservation,watersample,J. Van Wichelen,Diatoma vulgaris,Calculated Individuals per liter,3.60
Ugent:Ecopot1:0152,event,Kessenich_24aug07,Aphanizomenon,HumanObservation,watersample,J. Van Wichelen,Aphanizomenon,Calculated Individuals per liter,3.60
Ugent:Ecopot1:0153,event,Heerenlaak_12jul07,Crucigenia,HumanObservation,watersample,J. Van Wichelen,Crucigenia,Calculated Individuals per liter,3.40
Ugent:Ecopot1:0154,event,Heerenlaak_31may07,Desmodesmus,HumanObservation,watersample,J. Van Wichelen,Desmodesmus,Calculated Individuals per liter,3.40
Ugent:Ecopot1:0155,event,Kessenich_12jul07,Pediastrum,HumanObservation,watersample,J. Van Wichelen,Pediastrum,Calculated Individuals per liter,3.40
Ugent:Ecopot1:0156,event,Heerenlaak_12jul07,Coelastrum,HumanObservation,watersample,J. Van Wichelen,Coelastrum,Calculated Individuals per liter,3.20
Ugent:Ecopot1:0157,event,Kessenich_31may07,Monoraphidium  ,HumanObservation,watersample,J. Van Wichelen,Monoraphidium  ,Calculated Individuals per liter,3.20
Ugent:Ecopot1:0158,event,Kessenich_12jul07,Tetrachlorella,HumanObservation,watersample,J. Van Wichelen,Tetrachlorella,Calculated Individuals per liter,3.20
Ugent:Ecopot1:0159,event,Heerenlaak_12jul07,Trachelomonas,HumanObservation,watersample,J. Van Wichelen,Trachelomonas,Calculated Individuals per liter,3.20
Ugent:Ecopot1:0160,event,Kessenich_7sep06,Asterionella formosa,HumanObservation,watersample,J. Van Wichelen,Asterionella formosa,Calculated Individuals per liter,3.10
Ugent:Ecopot1:0161,event,Kessenich_22jun07,Closterium,HumanObservation,watersample,J. Van Wichelen,Closterium,Calculated Individuals per liter,3.00
Ugent:Ecopot1:0162,event,Kessenich_22jun07,Schroederia,HumanObservation,watersample,J. Van Wichelen,Schroederia,Calculated Individuals per liter,3.00
Ugent:Ecopot1:0163,event,Kessenich_22jun07,Anabaena planctonica,HumanObservation,watersample,J. Van Wichelen,Anabaena_planctonica,Calculated Individuals per liter,3.00
Ugent:Ecopot1:0164,event,Heerenlaak_24aug07,Schroederia,HumanObservation,watersample,J. Van Wichelen,Schroederia,Calculated Individuals per liter,2.80
Ugent:Ecopot1:0165,event,Kessenich_24aug07,Trachelomonas,HumanObservation,watersample,J. Van Wichelen,Trachelomonas,Calculated Individuals per liter,2.80
Ugent:Ecopot1:0167,event,Heerenlaak_22jun07,Nitzschia,HumanObservation,watersample,J. Van Wichelen,Nitzschia,Calculated Individuals per liter,2.60
Ugent:Ecopot1:0168,event,Kessenich_22jun07,Glenodinium,HumanObservation,watersample,J. Van Wichelen,Glenodinium,Calculated Individuals per liter,2.60
Ugent:Ecopot1:0169,event,Kessenich_12jul07,Eudorina,HumanObservation,watersample,J. Van Wichelen,Eudorina,Calculated Individuals per liter,2.40
Ugent:Ecopot1:0170,event,Kessenich_31may07,Pandorina,HumanObservation,watersample,J. Van Wichelen,Pandorina,Calculated Individuals per liter,2.40
Ugent:Ecopot1:0171,event,Kessenich_22jun07,Monoraphidium  ,HumanObservation,watersample,J. Van Wichelen,Monoraphidium  ,Calculated Individuals per liter,2.40
Ugent:Ecopot1:0172,event,Kessenich_12jul07,Synedra,HumanObservation,watersample,J. Van Wichelen,Synedra,Calculated Individuals per liter,2.40
Ugent:Ecopot1:0173,event,Heerenlaak_31may07,Aphanizomenon,HumanObservation,watersample,J. Van Wichelen,Aphanizomenon,Calculated Individuals per liter,2.40
Ugent:Ecopot1:0175,event,Kessenich_12jul07,Crucigenia,HumanObservation,watersample,J. Van Wichelen,Crucigenia,Calculated Individuals per liter,2.20
Ugent:Ecopot1:0176,event,Heerenlaak_22jun07,Trachelomonas,HumanObservation,watersample,J. Van Wichelen,Trachelomonas,Calculated Individuals per liter,2.20
Ugent:Ecopot1:0177,event,Kessenich_7sep06,Pediastrum,HumanObservation,watersample,J. Van Wichelen,Pediastrum,Calculated Individuals per liter,2.10
Ugent:Ecopot1:0178,event,Heerenlaak_12jul07,Closterium,HumanObservation,watersample,J. Van Wichelen,Closterium,Calculated Individuals per liter,2.00
Ugent:Ecopot1:0179,event,Heerenlaak_24aug07,Pediastrum,HumanObservation,watersample,J. Van Wichelen,Pediastrum,Calculated Individuals per liter,2.00
Ugent:Ecopot1:0180,event,Kessenich_20oct06,Aulacoseira subborealis,HumanObservation,watersample,J. Van Wichelen,Aulacoseira_subborealis,Calculated Individuals per liter,1.94
Ugent:Ecopot1:0181,event,Kessenich_22jun07,Crucigeniella,HumanObservation,watersample,J. Van Wichelen,Crucigeniella,Calculated Individuals per liter,1.80
Ugent:Ecopot1:0182,event,Heerenlaak_24aug07,Nitzschia,HumanObservation,watersample,J. Van Wichelen,Nitzschia,Calculated Individuals per liter,1.80
Ugent:Ecopot1:0183,event,Heerenlaak_31may07,Glenodinium,HumanObservation,watersample,J. Van Wichelen,Glenodinium,Calculated Individuals per liter,1.80
Ugent:Ecopot1:0184,event,Heerenlaak_24aug07,Glenodinium,HumanObservation,watersample,J. Van Wichelen,Glenodinium,Calculated Individuals per liter,1.80
Ugent:Ecopot1:0185,event,Kessenich_31may07,Chlamydomonas,HumanObservation,watersample,J. Van Wichelen,Chlamydomonas,Calculated Individuals per liter,1.60
