sample_Id,type,language,rightsHolder,institutionID,institutionCode,datasetID,datasetName,samplingProtocol,sampleSizeValue,sampleSizeUnit,license,waterBody,countryCode,day,month,year,eventDate,decimalLatitude,decimalLongitude,geodeticDatum
KanaalplasDeMaat_24oct13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,De Maat,BE,24,10,2013,2013-10-24,51.231107,5.17179,WGS84
RauwseMeer_17apr13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,17,4,2013,2013-4-17,51.225278,5.200833,WGS84
RauwseMeer_21may13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,21,5,2013,2013-5-21,51.225278,5.200833,WGS84
RauwseMeer_19jun13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,19,6,2013,2013-6-19,51.225278,5.200833,WGS84
RauwseMeer_17jul13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,17,7,2013,2013-7-17,51.225278,5.200833,WGS84
RauwseMeer_21aug13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,21,8,2013,2013-8-21,51.225278,5.200833,WGS84
RauwseMeer_17sep13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,17,9,2013,2013-9-17,51.225278,5.200833,WGS84
RauwseMeer_24oct13,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Rauwse Meer,BE,24,10,2013,2013-10-24,51.225278,5.200833,WGS84
Hazewinkel_23apr14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,23,4,2014,2014-4-23,51.066341,4.392004,WGS84
Hazewinkel_20may14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,20,5,2014,2014-5-20,51.066341,4.392004,WGS84
Hazewinkel_17jun14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,17,6,2014,2014-6-17,51.066341,4.392004,WGS84
Hazewinkel_29jul14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,29,7,2014,2014-7-29,51.066341,4.392004,WGS84
Hazewinkel_26aug14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,26,8,2014,2014-8-26,51.066341,4.392004,WGS84
Hazewinkel_23sep14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,23,9,2014,2014-9-23,51.066341,4.392004,WGS84
Hazewinkel_7oct14,event,en,UGent,UGent,UGent,,ECOPOT_2: Phytoplankton in Flemish Waterbodies,waterSampling,1,mL,This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.,Hazewinkel,BE,7,10,2014,2014-10-7,51.066341,4.392004,WGS84
